,title,authors,average_rating,isbn,isbn13,num_pages,ratings_count,text_reviews_count,publication_date,publisher,publisher_family
3993,Gentlemen and Players,Joanne Harris,3.91,0060559144,9780060559144,422,10511,1201,2006-01-03,William Morrow,William Morrow
3994,Blackberry Wine,Joanne Harris,3.8,0552998001,9780552998000,334,506,55,2001-04-01,Black Swan,Black Swan
3995,The Lollipop Shoes (Chocolat  #2),Joanne Harris,3.83,0385609485,9780385609487,464,200,27,2007-05-02,Doubleday,Doubleday
3996,The French Kitchen: A Cookbook,Joanne Harris/Fran Warde,4.09,0385607016,9780385607018,256,35,0,2003-11-03,Doubleday,Doubleday
3997,Holy Madness: The Shock Tactics Radical Teachings Crazy Wise Adepts Holy Fools Rascal Gurus,Georg Feuerstein/Roger Walsh,3.71,0140193707,9780140193701,320,16,2,1992-10-01,Penguin Books,Penguin
3998,The Adventuress,Audrey Niffenegger,3.33,081097052X,9780810970526,144,1058,148,2006-09-01,Abrams,Abrams
3999,The Time Traveler's Wife,Audrey Niffenegger/William Hope/Laurel Lefkow,3.97,0563504838,9780563504832,5,17,0,2005-08-01,BBC Audiobooks,BBC
4000,Ralph Ellison: A Biography,Arnold Rampersad,4.15,0375408274,9780375408274,657,182,24,2007-04-24,Knopf Publishing Group,Knopf
4001,The Collectors (Camel Club  #2),David Baldacci,4.02,044653109X,9780446531092,438,34462,1410,2006-10-18,Warner Books,Warner Books
4002,Saving Faith,David Baldacci,3.88,0446608890,9780446608893,528,15509,671,2000-09-01,Vision,Vision
4003,Total Control,David Baldacci,4.08,033041965X,9780330419659,613,86,6,2003-08-01,Pan Publishing,Pan
4004,She Got Up Off the Couch: And Other Heroic Acts from Mooreland  Indiana,Haven Kimmel,4.05,074328500X,9780743285001,313,8769,935,2007-02-01,Free Press,Free Press
4005,Orville: A Dog Story,Haven Kimmel/Robert Andrew Parker,4.13,061815955X,9780618159550,32,159,39,2003-09-22,Clarion Books,Clarion
4006,The Solace Of Leaving Early,Haven Kimmel,3.79,0007152531,9780007152537,315,87,15,2003-11-03,Flamingo,Flamingo
4007,The Used World,Haven Kimmel,3.63,0743247787,9780743247788,308,1398,249,2007-09-18,Free Press,Free Press
4008,Something Rising,Haven Kimmel,3.61,0743247779,9780743247771,288,1237,154,2005-04-05,Free Press,Free Press
4009,Bridge of Birds (The Chronicles of Master Li and Number Ten Ox  #1),Barry Hughart,4.29,0345321383,9780345321381,278,9010,944,1985-04-12,Del Rey,Del Rey
4010,American Film Guide,Frank N. Magill,0.0,0893562505,9780893562502,5,0,0,1983-01-01,Salem Press Inc,Salem Press
4011,Looking for God in Harry Potter,John Granger,4.13,1414306342,9781414306346,234,1347,94,2006-02-17,SaltRiver,SaltRiver
4012,Shades of Murder (Mitchell and Markby Village  #13),Ann Granger,3.88,0747268037,9780747268031,404,260,25,2001-02-01,Headline,Headline
4013,The Complete Maus,Art Spiegelman,4.55,0141014083,9780141014081,296,111475,5966,2003-10-02,Penguin Books,Penguin
4014,Maus I: A Survivor's Tale: My Father Bleeds History (Maus  #1),Art Spiegelman,4.34,0394541553,9780394541556,159,203013,4873,1991-11-01,Pantheon Books,Pantheon
4015,Radical Chic & Mau-Mauing the Flak Catchers,Tom Wolfe,3.77,0553380621,9780553380620,144,2288,106,1999-10-05,Bantam,Bantam
4016,Sorcery Rising (Fool's Gold  #1),Jude Fisher,3.56,0756401100,9780756401108,528,1313,52,2003-07-01,DAW,DAW
4017,The Lord of the Rings: The Two Towers: Visual Companion,Jude Fisher/Viggo Mortensen,4.51,0618258027,9780618258024,72,4524,23,2002-11-06,Houghton Mifflin Harcourt,Houghton Mifflin Harcourt
4018,In the Green Star's Glow (Green Star  #5),Lin Carter,3.51,0879972165,9780879972165,192,93,11,1976-01-20,DAW Books,DAW
4019,By the Light of the Green Star (Green Star  #3),Lin Carter,3.53,0879971207,9780879971205,175,102,10,1974-07-16,DAW,DAW
4020,The Lord of the Rings: A Reader's Companion,Wayne G. Hammond/Christina Scull,4.35,0618642676,9780618642670,416,4380,21,2005-12-27,Houghton Mifflin Harcourt,Houghton Mifflin Harcourt
4021,The Lord of the Rings: Official Movie Guide,Brian Sibley,4.39,0618154027,9780618154029,120,6356,21,2001-11-06,Houghton Mifflin Harcourt,Houghton Mifflin Harcourt
4022,The Two Towers (The Lord of the Rings  #2),J.R.R. Tolkien/Peter S. Beagle,4.44,0618346260,9780618346264,322,593467,5798,2003-09-05,Houghton Mifflin,Houghton Mifflin
4023,The Return of the King (The Lord of the Rings  #3),J.R.R. Tolkien,4.53,0007171994,9780007171996,554,265,5,2003-11-06,HarperCollins Publishers Ltd,HarperCollins
4024,The Lord of the Rings: The Return of the King - Visual Companion,Jude Fisher,4.59,0007116268,9780007116263,72,26,3,2003-11-06,HarperCollins,HarperCollins
4025,Death's Acre: Inside the Legendary Forensic Lab the Body Farm Where the Dead Do Tell Tales,William M. Bass/Jon Jefferson,4.19,0425198324,9780425198322,320,8481,451,2004-10-05,Berkley,Berkley
4026,The Magical Worlds of Lord of the Rings: The Amazing Myths  Legends and Facts Behind the Masterpiece,David Colbert,4.08,0425187713,9780425187715,208,2073,50,2002-10-01,Berkley Trade,Berkley
4027,The Rough Guide to Australia 7,Margo Daly/David Leffman/Anne Dehne/Chris   Scott,3.93,1843534754,9781843534754,1256,8,1,2005-10-01,Rough Guides,Rough Guides
4028,The Rough Guide to Vietnam,Rough Guides/Jan Dodd/Mark Lewis/Ron Emmons,3.89,1843536161,9781843536161,639,34,3,2006-10-01,Rough Guides,Rough Guides
4029,A Gateway to Sindarin: A Grammar of an Elvish Language from J.R.R. Tolkien's Lord of the Rings,David Salo,3.73,0874808006,9780874808001,438,7,0,2004-11-08,University of Utah Press,University of Utah Press
4030,The Return of the King (The Lord of the Rings  #3),J.R.R. Tolkien,4.53,0618574972,9780618574971,508,1635,74,2005-06-01,Mariner Books,Mariner Books
4031,The Laughing Corpse (Anita Blake  Vampire Hunter  #2),Laurell K. Hamilton,4.12,0425204669,9780425204665,301,67686,1409,2005-08-02,Berkley,Berkley
4032,What the Corpse Revealed,Hugh    Miller,3.79,0312975732,9780312975739,320,297,18,2000-12-15,St. Martin's True Crime,St. Martin's
4033,Corpse: Nature  Forensics  and the Struggle to Pinpoint Time of Death,Jessica Snyder Sachs,3.93,0738207713,9780738207711,270,937,70,2002-10-17,Basic Books,Basic Books
4034,The Main Corpse (A Goldy Bear Culinary Mystery #6),Diane Mott Davidson,3.86,0553574639,9780553574630,384,315,22,1997-07-01,Bantam,Bantam
4035,Exquisite Corpse,Poppy Z. Brite,3.75,0684836270,9780684836270,240,8582,574,1997-08-20,Gallery Books,Gallery Books
4036,The Return of the King (The Lord of the Rings  #3),Brian Sibley/J.R.R. Tolkien,4.35,0563536594,9780563536598,1,17,3,2002-03-04,BBC Audiobooks Ltd,BBC
4037,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,0618574948,9780618574940,506,1323,121,2004-06-01,Houghton Mifflin Company,Houghton Mifflin
4038,The Lord of the Rings / The Hobbit,J.R.R. Tolkien,4.59,0007144083,9780007144082,1600,141,5,2002-10-07,Collins Modern Classics,Collins
4039,Bored of the Rings: A Parody of J.R.R. Tolkien's Lord of the Rings,The Harvard Lampoon/Henry N. Beard/Douglas C. Kenney,3.13,0451452615,9780451452610,149,4438,301,1993-07-01,Roc Trade,Roc
4040,The Return of the Shadow: The History of The Lord of the Rings  Part One (The History of Middle-Earth  #6),J.R.R. Tolkien/Christopher Tolkien,4.03,061808357X,9780618083572,512,2343,92,2000-09-01,Houghton Mifflin,Houghton Mifflin
4041,The Lord of the Rings,J.R.R. Tolkien/Brian Sibley/Michael Bakewell/Stephen  Oliver/Ian Holm/Michael Hordern/Robert Stephens/John Le Mesurier/Peter Woodthorpe/Gerard  Murphy/Hugh Dickson/Peter Vaughan/Peter Howell,4.5,0563494859,9780563494850,15,2,0,2003-10-06,BBC Audiobooks,BBC
4042,The Return of the King (The Lord of the Rings  #3),J.R.R. Tolkien,4.53,0965307794,9780965307796,440,202,10,2001-01-01,Quality Paperback Book Club,Quality Paperback Book Club
4043,The Ice Storm,Rick Moody,3.66,0316706000,9780316706001,288,4592,334,2002-04-10,Back Bay Books,Back Bay Books
4044,The Diviners,Rick Moody,3.03,0316013277,9780316013277,592,508,65,2007-01-02,Back Bay Books,Back Bay Books
4045,Right Livelihoods: Three Novellas,Rick Moody,3.31,0316166340,9780316166348,240,223,47,2007-06-01,Little Brown and Company,"Little, Brown and Company"
4046,Black Veil: A Memoir with Digressions,Rick Moody,3.07,0316578991,9780316578998,336,402,38,2002-05-06,Little Brown and Company,"Little, Brown and Company"
4047,Garden State,Rick Moody,3.07,0571200613,9780571200610,212,714,49,2002-08-19,London : Faber  2002,Faber
4048,The Lord of the Rings Millennium Edition Boxed Set (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,0618037667,9780618037667,1472,120,5,1999-10-10,Houghton Mifflin,Houghton Mifflin
4049,The Twenty-Seventh City,Jonathan Franzen,3.12,1841157481,9781841157481,528,125,17,2003-05-01,HarperCollins Publishers,HarperCollins
4050,Stork Naked (Xanth  #30),Piers Anthony,3.88,0765304090,9780765304094,304,1833,31,2006-10-31,Tor Books,Tor Books
4051,Pet Peeve (Xanth #29),Piers Anthony,3.86,0765343118,9780765343116,384,2273,35,2006-10-01,Tor Books,Tor Books
4052,Up in a Heaval (Xanth #26),Piers Anthony,3.83,0812574990,9780812574999,342,2364,25,2003-10-19,Tor Fantasy,Tor
4053,Roc and a Hard Place (Xanth #19),Piers Anthony,3.75,0812534867,9780812534863,344,5832,36,1996-10-15,Tor Books,Tor Books
4054,Swell Foop (Xanth #25),Piers Anthony,3.78,0812574745,9780812574746,384,2866,30,2002-10-13,Tor Fantasy,Tor
4055,Being a Green Mother (Incarnations of Immortality  #5),Piers Anthony,3.96,0727840010,9780727840011,400,41,1,1989-10-26,Severn House,Severn House
4056,Firefly,Piers Anthony,3.25,0380759500,9780380759507,466,2420,128,1992-03-01,Avon Books,Avon
4057,Yon Ill Wind (Xanth #20),Piers Anthony,3.76,0812555104,9780812555103,340,3804,37,1997-10-15,Tor Fantasy,Tor
4058,Vision of Tarot (Tarot  #2),Piers Anthony,3.47,0441864619,9780441864614,260,1485,13,1987-07-15,Ace Books,Ace
4059,On a Pale Horse,Piers Anthony,4.13,0345305183,9780345305183,325,156,13,1984-09-12,Del Rey Books,Del Rey
4060,Vale of the Vole (Xanth #10),Piers Anthony,3.61,0812574966,9780812574968,304,9240,65,2000-03-15,Tor Fantasy,Tor
4061,The Dastard (Xanth #24),Piers Anthony,3.81,0812574737,9780812574739,384,3009,28,2001-10-14,Tor Books,Tor Books
4062,Demons Don't Dream (Xanth #16),Piers Anthony,3.8,0812534832,9780812534832,352,7737,93,1994-02-15,Tor Fantasy,Tor
4063,The Color of Her Panties (Xanth #15),Piers Anthony,3.67,0380759497,9780380759491,342,7374,64,1992-09-01,Eos,Eos
4064,Faun & Games (Xanth #21),Piers Anthony,3.76,0812555112,9780812555110,352,4039,38,1997-10-15,Tor Fantasy,Tor
4065,Harpy Thyme (Xanth #17),Piers Anthony,3.72,0812534840,9780812534849,352,6460,63,1995-02-15,Tor Books,Tor Books
4066,Geis of the Gargoyle (Xanth #18),Piers Anthony,3.71,0812534859,9780812534856,342,5242,42,1995-10-15,Tor Fantasy,Tor
4067,Three Complete Xanth Novels (Xanth  #1-3),Piers Anthony,4.06,0517122332,9780517122334,774,64,1,1995-02-11,Wings,Wings
4068,God of Tarot (Tarot  #1),Piers Anthony,3.45,0441294707,9780441294701,288,1737,36,1987-03-01,Ace,Ace
4069,Faith of Tarot (Tarot  #3),Piers Anthony,3.49,0441225659,9780441225651,304,1273,11,1987-04-15,Ace,Ace
4070,Unicorn Point (Apprentice Adept #6),Piers Anthony,3.8,0441845630,9780441845637,337,4820,27,1990-01-01,Ace Books,Ace
4071,Hard Sell,Piers Anthony,3.38,0441317480,9780441317486,268,700,14,1993-05-01,Ace,Ace
4072,Var the Stick (Battle Circle  #2),Piers Anthony,3.76,0552097365,9780552097369,172,762,13,1975-03-21,Corgi,Corgi
4073,Xanth: The Quest for Magic (Xanth  #1-3),Piers Anthony,4.06,034545328X,9780345453280,784,4867,19,2002-10-29,Del Rey,Del Rey
4074,Killobyte,Piers Anthony,3.56,0441444253,9780441444250,312,1549,47,1994-01-01,ACE,Ace
4075,Fractal Mode (Mode  #2),Piers Anthony,3.64,0441251269,9780441251261,344,3456,30,1992-12-01,Ace,Ace
4076,Anthonology,Piers Anthony,3.66,0812531140,9780812531145,384,710,18,1986-04-15,Tor Books,Tor Books
4077,I Maccabees,Jonathan  A. Goldstein/Anonymous,3.96,0385085338,9780385085335,592,8,0,1976-06-16,Anchor Bible,Anchor
4078,II Maccabees,Anonymous/Jonathan  A. Goldstein,4.04,0385048645,9780385048644,595,24,2,1983-10-11,Anchor Bible,Anchor
4079,Question Quest (Xanth #14),Piers Anthony,3.71,0380759489,9780380759484,368,6894,73,1991-10-01,Avon,Avon
4080,Rings of Ice,Piers Anthony,3.34,0380000369,9780380000364,191,403,23,1987-11-01,Avon Books,Avon
4081,Shame of Man (Geodyssey  #2),Piers Anthony,3.84,0312858116,9780312858117,380,18,0,1994-10-01,Tor Books,Tor Books
4082,Magic Kingdom for Sale—Sold! (Magic Kingdom of Landover #1),Terry Brooks,3.89,0345317572,9780345317575,324,320,24,1986-03-12,Del Rey Books,Del Rey
4083,Armageddon's Children (Genesis of Shannara  #1),Terry Brooks,4.1,0345484088,9780345484086,371,12609,524,2006-09-30,Ballantine Books,Ballantine
4084,Straken (High Druid of Shannara  #3),Terry Brooks,4.04,0345451139,9780345451132,384,10276,126,2006-08-15,Del Rey,Del Rey
4085,Tanequil (High Druid of Shannara  #2),Terry Brooks,3.98,034543577X,9780345435774,357,10750,106,2005-08-30,Del Rey Books,Del Rey
4086,The Voyage of the Jerle Shannara Trilogy (Voyage of the Jerle Shannara  #1-3),Terry Brooks,4.27,0345492862,9780345492869,1248,3088,39,2006-11-14,Del Rey,Del Rey
4087,The Heritage of Shannara (Heritage of Shannara  #1-4),Terry Brooks,4.29,0345465547,9780345465542,1238,3613,42,2003-08-26,Del Rey Books,Del Rey
4088,Jarka Ruus (High Druid of Shannara  #1),Terry Brooks,3.97,0345483898,9780345483898,416,12122,138,2005-07-26,Del Rey,Del Rey
4089,Ilse Witch (Voyage of the Jerle Shannara #1),Terry Brooks,3.96,0743209516,9780743209519,464,144,9,2000-10-02,Earthlight,Earthlight
4090,First King of Shannara (The Original Shannara Trilogy #0),Terry Brooks,3.96,0345396537,9780345396532,435,864,55,1997-01-29,Del Rey,Del Rey
4091,The Elf Queen of Shannara (Heritage of Shannara  #3),Terry Brooks,4.04,1857238273,9781857238273,416,26676,188,1998-03-04,Orbit,Orbit
4092,The Druids' Keep (The Sword of Shannara  #2),Terry Brooks,4.16,0345461452,9780345461452,240,3732,8,2003-06-03,Del Rey,Del Rey
4093,The Elfstones of Shannara (The Original Shannara Trilogy #2),Terry Brooks,3.97,0345285549,9780345285546,564,1691,152,2000-10-10,Del Rey Books,Del Rey
4094,In the Shadow of the Warlock Lord (The Sword of Shannara  #1),Terry Brooks,4.06,0345461460,9780345461469,240,6139,22,2009-08-05,Del Rey,Del Rey
4095,Ferdydurke,Witold Gombrowicz/Danuta Borchardt,3.86,0300082401,9780300082401,320,8193,198,2000-08-11,Yale University Press,Yale University Press
4096,Cosmos and Pornografia: Two Novels,Witold Gombrowicz/Alastair Hamilton/Eric Mosbacher,4.12,0802151590,9780802151599,362,241,25,1994-03-23,Grove Press,Grove Press
4097,Cosmos,Witold Gombrowicz/Danuta Borchardt,4.03,0300108486,9780300108484,208,1896,129,2005-10-10,Yale University Press,Yale University Press
4098,Bacacay,Witold Gombrowicz/Bill Johnston,3.94,097639507X,9780976395072,275,491,28,2006-05-01,Archipelago Books,Archipelago Books
4099,McSweeney's #12,Dave Eggers/Roddy Doyle/McSweeney's Publishing,3.87,1932416064,9781932416060,273,188,7,2003-12-01,McSweeney's,McSweeney's
4100,A Midwife's Tale: The Life of Martha Ballard  Based on Her Diary  1785-1812,Laurel Thatcher Ulrich,4.01,0679733760,9780679733768,444,5149,633,1991-12-22,Vintage Books,Vintage
4101,The Midwife's Apprentice,Karen Cushman,3.72,006440630X,9780064406307,128,36039,1585,1996-08-16,HarperTrophy,Harper
4102,Heart & Hands: A Midwife's Guide to Pregnancy & Birth,Elizabeth  Davis/Suzanne Arms,4.37,1587612216,9781587612213,312,875,43,2004-11-01,Celestial Arts,Celestial Arts
4103,A Midwife's Story,Sheryl Feldman/Penny Armstrong,4.07,1905177046,9781905177042,194,1473,136,2007-04-01,Pinter & Martin Ltd,Pinter & Martin
4104,The Midwife's Tale,Gretchen Moran Laskas,3.83,0385335547,9780385335546,256,705,99,2004-03-02,Delta,Delta
4105,Varney's Pocket Midwife,Jan M. Kriebs/Carolyn L. Gegor,4.06,0763726710,9780763726713,616,4,0,2005-01-01,Jones & Bartlett Publishers,Jones & Bartlett
4106,McSweeney's #24,Dave Eggers/Christopher R. Howard/Jonathan Ames/Joe Meno/Eric Hanson,3.8,1932416773,9781932416770,300,277,31,2007-05-28,McSweeney's,McSweeney's
4107,Billy Budd  Sailor and Other Uncompleted Writings,Herman Melville,3.11,0810111136,9780810111134,1016,9,1,2007-12-15,Northwestern University Press,Northwestern University Press
4108,Billy Budd  Sailor,Herman Melville/Harrison Hayford/Merton M. Sealts Jr.,3.12,0226321320,9780226321325,230,228,26,2001-09-01,University of Chicago Press,University of Chicago Press
4109,Billy Budd  Sailor,Herman Melville,3.12,1416523723,9781416523727,160,12599,687,2006-08-01,Simon  Schuster,Simon & Schuster
4110,The Outsider,Richard Wright,4.16,0060539259,9780060539252,672,1779,76,2003-07-29,Harpperen,HarperCollins
4111,Native Son,Richard Wright,3.99,006083756X,9780060837563,504,75139,2987,2005-08-02,Harper Perennial Modern Classics,Harper Perennial
4112,Later Works: Black Boy (American Hunger) / The Outsider,Richard Wright/Arnold Rampersad,4.34,0940450674,9780940450677,887,53,7,1991-10-01,Library of America,Library of America
4113,Cyrano de Bergerac,Edmond Rostand/Eteel Lawson/Lowell Bair,4.06,0451528921,9780451528926,240,62116,1119,2003-08-05,Signet Classics,Signet
4114,Cyrano de Bergerac,Edmond Rostand/Anthony Burgess,4.06,1854591177,9781854591173,192,59,11,2003-09-01,Nick Hern Books,Nick Hern Books
4115,Batman: Inferno,Alexander C. Irvine,3.63,0345479459,9780345479457,339,348,24,2006-10-31,Del Rey,Del Rey
4116,Inferno (La Divina Commedia #1),Dante Alighieri/Ronald L. Martinez/Robert M. Durling/Robert Turner,4.0,0195087445,9780195087444,672,468,50,1997-03-06,Oxford University Press  USA,Oxford University Press
4117,Dante's Inferno,Dante Alighieri/Mark Musa,4.0,0253209307,9780253209306,432,43,6,1995-06-22,Indiana University Press,Indiana University Press
4118,The Stranger Beside Me: Ted Bundy: The Shocking Inside Story,Ann Rule,4.14,0451203267,9780451203267,548,54029,2779,2001-06-01,Signet,Signet
4119,The Kindness of Strangers,Katrina Kittle,4.02,0060564784,9780060564780,400,11669,1418,2007-01-02,William Morrow Paperbacks,William Morrow
4120,Stranger in the Forest: On Foot Across Borneo,Eric Hansen,4.1,0375724958,9780375724954,288,1584,110,2000-11-14,Vintage,Vintage
4121,Strangers In Paradise  Pocket Book 5,Terry Moore,4.38,1892597381,9781892597380,392,999,24,2005-12-14,Abstract Studio,Abstract Studio
4122,The Strangers in the House,Georges Simenon/P.D. James/Geoffrey Sainsbury/David Watson,3.75,1590171942,9781590171943,194,655,66,2006-10-24,NYRB Classics,NYRB
4123,Wayside School Gets A Little Stranger (Wayside School  #3),Louis Sachar,4.19,0747569118,9780747569114,176,17980,416,2004-04-01,Bloomsbury U.S.A. Children's Books,Bloomsbury
4124,Strangers,Dean Koontz,4.0,0425181111,9780425181119,704,38693,590,2002-10-01,Berkley,Berkley
4125,Strangers on a Train,Patricia Highsmith,3.78,0393321983,9780393321982,256,13041,1208,2001-08-28,W. W. Norton & Company,W. W. Norton
4126,Come a Stranger (Tillerman Cycle  #5),Cynthia Voigt,3.89,068980444X,9780689804441,256,1742,79,1995-11-01,Simon Pulse,Simon Pulse
4127,Exile and the Kingdom,Albert Camus/Carol Cosman/Orhan Pamuk,3.89,0307278581,9780307278586,166,680,56,2007-02-13,Vintage,Vintage
4128,A Happy Death,Albert Camus/Richard Howard/Jean Sarocchi,3.82,0141186585,9780141186580,144,6975,257,2002-02-28,Penguin Classics,Penguin
4129,Lyrical and Critical Essays,Albert Camus/Ellen Conroy Kennedy/Philip Thody,4.27,0394708520,9780394708522,365,817,52,1970-09-12,Vintage,Vintage
4130,Outsider,Albert Camus,3.98,081912141X,9780819121417,110,21,2,1983-01-01,University Press of America,University Press of America
4131,The Possessed,Albert Camus/Justin O'Brien,3.83,039470245X,9780394702452,190,325,22,1964-03-12,Vintage,Vintage
4132,Introducing Camus,David Zane Mairowitz/Alain Korkos,3.8,1840460644,9781840460643,176,163,12,1998-01-03,Totem Books,Totem Books
4133,Notebooks  1935-1951,Albert Camus/Philip Thody/Justin O'Brien,4.28,1569246661,9781569246665,496,553,12,1998-09-01,Marlowe & Company,Marlowe & Company
4134,Existential Meditation,Simon Cleveland,4.91,1411665309,9781411665309,100,11,3,2005-12-22,Lulu.com,Lulu
4135,The Plague,Albert Camus/Robin Buss,3.98,0141185139,9780141185132,238,975,80,2002-12-05,Penguin,Penguin
4136,Marvel 1602,Neil Gaiman/Andy Kubert/Richard Isanove/Peter Sanderson/Todd Klein,3.94,0785123113,9780785123118,248,48894,1354,2006-08-02,Marvel,Marvel
4137,Galapagos: A Natural History,Michael H. Jackson,3.88,1895176409,9781895176407,336,98,10,1994-06-30,University of Calgary Press,University of Calgary Press
4138,Ecuador & the Galapagos Islands,Danny Palmerlee/Carolyn McCarthy/Michael Grosberg/Lonely Planet,3.89,174104295X,9781741042955,440,66,8,2006-08-01,Lonely Planet,Lonely Planet
4139,Breakfast of Champions,Robert Egan/Kurt Vonnegut Jr.,4.0,0573605734,9780573605734,106,17,0,2017-04-07,Samuel French  Inc.,Samuel French
4140,Seabiscuit: The Saga of a Great Champion,B.K. Beckwith/Howard Brodie/Grantland Rice,4.47,1594160007,9781594160004,64,22,0,2004-08-01,Westholme Publishing,Westholme Publishing
4141,One Door Away from Heaven,Dean Koontz,3.97,0553582755,9780553582758,681,17959,555,2002-10-29,Bantam,Bantam
4142,Dark Rivers of the Heart / Sole Survivor / Intensity,Dean Koontz,4.41,0970998716,9780970998712,700,602,10,2001-10-25,Bright Sky Press,Bright Sky Press
4143,The Amateur Marriage,Anne Tyler,3.62,0345472454,9780345472458,342,12986,1112,2006-01-31,Ballantine Books,Ballantine
4144,Angel Christmas,Carole Nelson Douglas/Emma Merritt/Marilyn Campbell/Patricia Rice/Mary Balogh,3.49,0451406281,9780451406286,384,72,5,1995-11-01,Topaz,Topaz
4145,Sideways Stories from Wayside School (Wayside School #1),Louis Sachar/Adam McCauley,4.15,0747571775,9780747571773,144,81090,1835,2004-01-19,Bloomsbury Childrens Books,Bloomsbury
4146,Sideways,Rex Pickett,3.69,0312342519,9780312342517,368,4494,522,2004-10-01,St. Martin's Griffin,St. Martin's Griffin
4147,Sideways Arithmetic from Wayside School (Wayside School #2.5),Louis Sachar,3.88,0747569126,9780747569121,96,3708,74,2004-05-01,Bloomsbury U.S.A. Children's Books,Bloomsbury
4148,The Sideways Guide to Wine and Life,Alexander Payne/Jim     Taylor,4.38,1557046867,9781557046864,64,8,0,2005-05-25,Newmarket Press,Newmarket Press
4149,More Sideways Arithmetic from Wayside School (Wayside School #2.6),Louis Sachar,3.92,0747569134,9780747569138,112,856,28,1994-09-01,Bloomsbury U.S.A. Children's Books,Bloomsbury
4150,Sideways: The Shooting Script,Alexander Payne/Jim     Taylor,4.21,1557046557,9781557046550,192,101,3,2004-12-08,Newmarket Press,Newmarket Press
4151,White Man's Grave,Richard Dooling,3.94,031213214X,9780312132149,400,367,48,1995-03-15,Picador USA,Picador
4152,Charms for the Easy Life,Kaye Gibbons,4.02,0060760257,9780060760250,272,11168,744,2005-07-01,Harper Perennial,Harper Perennial
4153,The Lovely Bones,Alice Sebold,3.81,0316168815,9780316168816,328,5945,735,2004-04-20,Back Bay Books,Back Bay Books
4154,Hour Game (Sean King & Michelle Maxwell  #2),David Baldacci,3.97,140500522X,9781405005227,437,15,2,2005-01-21,MacMillan,Macmillan
4155,House of Sand and Fog,Andre Dubus III/Fontaine Dollas Dubus,3.85,0788759892,9780788759895,15,108,19,1999-01-01,Recorded Books,Recorded Books
4156,While I Was Gone,Sue Miller,3.69,0345420748,9780345420749,352,239,28,2002-11-26,Ballantine Books,Ballantine
4157,My War Gone by  I Miss It So,Anthony Loyd,4.29,0552771333,9780552771337,336,20,2,2000-11-07,Bantam Press,Bantam
4158,Will You Miss Me When I'm Gone? The Carter Family and Their Legacy in American Music,Mark Zwonitzer/Charles Hirshberg,4.28,074324382X,9780743243827,432,894,99,2004-02-23,Simon  Schuster,Simon & Schuster
4159,Bird Songs: Of North America,Les Beletsky/Jon L. Dunn,4.48,1932855416,9781932855418,368,273,30,2006-09-28,Chronicle Books,Chronicle Books
4160,National Geographic Field Guide to the Birds of North America,National Geographic Society/Jon L. Dunn/Jonathan Alderfer,4.38,0792253140,9780792253143,503,745,27,2006-11-23,National Geographic Society,National Geographic
4161,Fugitive Pieces,Anne Michaels,3.93,0679776591,9780679776598,304,12209,947,1998-05-26,Vintage,Vintage
4162,Theories of Relativity,Barbara Haworth-Attard,3.91,0805077901,9780805077902,240,760,75,2005-09-01,Henry Holt and Co. (BYR),Henry Holt
4163,Relativity: The Special and the General Theory,Albert Einstein/Nigel Calder/Robert W. Lawson,4.18,0143039822,9780143039822,130,14068,344,2006-07-25,Penguin Classics,Penguin
4164,Relativity: The Special and the General Theory: The Masterpiece Science Edition,Albert Einstein/Roger Penrose/Robert Geroch/David C. Cassidy,4.18,0131862618,9780131862616,288,24,2,2005-04-01,Pi Press,Pi Press
4165,Mirror Mirror,Gregory Maguire,3.28,0060988657,9780060988654,280,28014,1512,2004-10-01,Regan Books,Regan Books
4166,Unnatural Exposure (Kay Scarpetta  #8),Patricia Cornwell,4.06,0425163407,9780425163405,367,725,33,1998-07-01,Berkley,Berkley
4167,Mugglenet.Com's What Will Happen in Harry Potter 7: Who Lives  Who Dies  Who Falls in Love and How Will the Adventure Finally End?,Ben Schoen/Andy Gordon/Gretchen Stull/Emerson Spartz/Jamie Lawrence,4.23,1569755833,9781569755839,216,9023,112,2006-10-19,Ulysses Press,Ulysses Press
4168,Ultimate Unofficial Guide to the Mysteries of Harry Potter: Analysis of Books 1-4,Galadriel Waters/Astre Mithrandir,4.05,0972393617,9780972393614,412,2774,37,2003-01-01,Wizarding World Press,Wizarding World Press
4169,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling/Mary GrandPré,4.42,0439064864,9780439064866,341,2293963,34692,1999-06-02,Arthur A. Levine Books / Scholastic Inc.,Arthur A. Levine Books
4170,An Instance of the Fingerpost,Iain Pears,3.94,1573227951,9781573227957,691,19134,1081,2000-04-01,Riverhead Books,Riverhead
4171,An Instance of the Fingerpost,Iain Pears,3.94,1573220825,9781573220828,691,214,24,1998-03-16,Riverhead Books,Riverhead
4172,Tears of the Giraffe (No. 1 Ladies' Detective Agency  #2),Alexander McCall Smith,3.96,0613647904,9780613647908,256,29,9,2002-09-03,Turtleback,Turtleback
4173,Friends  Lovers  Chocolate (Isabel Dalhousie  #2),Alexander McCall Smith,3.62,0375422994,9780375422997,261,9901,747,2005-09-20,Pantheon Books,Pantheon
